Term,Domain,Definition,Category,Related terms,Reference description,Reference source,Publication Title,Authors,Jorunal,Year,Volume,Issue,Edition,Publisher,DOI,PMID,Link to reference,Creation Date,Date of change,Comments,Term ID,
knowledge model,Common Term,Knowledge model is a result of a knowledge modeling. Knowledge modeling is a process of creating a computer interpretable model of knowledge or standard specifications about a kind of process. A knowledge model can be computer interpretable when it is expressed in some knowledge representation language or data structure that enables the knowledge to be interpreted by software and to be stored in a database or data exchange file.,ORION-specific; Data processing and analysis,,,,,,,,,,,,,,ORION definition: Modified from the original available at: https://en.wikipedia.org/wiki/Knowledge_modeling,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978101_knowledge model_Common Term,1551347978101
knowledge transfer,Common Term,"A term used to encompass a very broad range of activities to support mutually beneficial collaborations and dissemination of knowledge between e.g. ORION members, EJP projects, stakelholders, OH surveillance actors, decision makers, etc.",ORION-specific,,,,,,,,,,,,,,adapted from: http://www.cam.ac.uk/research/news/what-is-knowledge-transfer,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977782_knowledge transfer_Common Term,1551347977782
laboratory based surveillance,Public Health,monitoring of laboratory confirmed cases,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978114_laboratory based surveillance_Public Health,1551347978114
level of detection (LOD),Animal Health,Definition shared with food safety,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977953_level of detection (LOD)_Animal Health,1551347977953
level of detection (LOD),Food Safety,"Measured analyte concentration, obtained by a given measurement procedure, for which the probability of detection is x. In this protocol x= 50, i.e. LOD50 is the level of detection for which 50 % of tests give a positive result.",Sampling and laboratory testing,,NordVal-protocol,,,,,,,,,,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978109_level of detection (LOD)_Food Safety,1551347978109
library preparation,Common Term,preparing purified DNA for NGS. Fragmentizes long DNA strands and ligates primers and other sequencing related bits.,Sampling and laboratory testing; Data processing and analysis,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978143_library preparation_Common Term,1551347978143
Linked data,Common Term,"Linked Data refers not only about datasets, but recommended best practices for exposing, sharing, and connecting pieces of data, information, and knowledge on the Semantic Web. The Semantic Web is about making links between datasets that are understandable not only to humans, but also to machines.",ORION-specific; Data processing and analysis,,,,,,,,,,,,,,http://linkeddata.org/,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978103_Linked data_Common Term,1551347978103
lot,Food Safety,"A lot is a definite quantity of some commodity manufactured or produced under conditions, which are presumed uniform.",Sampling and laboratory testing,,General Guidelines on Sampling,,,,,,,,,,,,http://www.fao.org/uploads/media/Codex_2004_sampling_CAC_GL_50.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977740_lot_Food Safety,1551347977740
medical surveillance,Public Health,"monitoring of a person who might have been exposed to an infectious, chemical, radiologic, or other potentially causal agent, for the purpose of detecting early symptoms",Type of study,,CDC glossary,,,,,,,,,,,,https://www.cdc.gov/ophss/csels/dsepd/ss1978/glossary.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978112_medical surveillance_Public Health,1551347978112
metadata,Common Term,"Literally, ""data about data""; data that defines and describes the characteristics of other data, used to improve understanding of data and data-related processes (DDI).",Data processing and analysis,,,,,,,,,,,,,,https://dictionary.casrai.org/Metadata,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978104_metadata_Common Term,1551347978104
metadata standard,Common Term,"A metadata standard is a requirement which is intended to establish a common understanding of the meaning or semantics of the data, to ensure correct and proper use and interpretation of the data by its owners and users. To achieve this common understanding, a number of characteristics, or attributes of the data have to be defined, also known as metadata",Data processing and analysis,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Metadata_standard,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977741_metadata standard_Common Term,1551347977741
microbial surveillance,Public Health,"Characterization of microorganisms for the purpose of surveillance, outbreak detection, method quality assurance and evaluation of preventive measures e.g vaccinations./FOHM",Type of study,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977833_microbial surveillance_Public Health,1551347977833
microbiological cluster,Common Term,A group of isolates that are related to each other at a defined genetic threshold (WGS cluster)/defined level of phenotypic test result similarity,Epidemiology,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977735_microbiological cluster_Common Term,1551347977735
microbiological criterion,Food Safety,"criterion defining the acceptability of a product, a batch of foodstuffs or a process, based on the absence, presence or number of microorganisms, and/or on the quantity of their toxins/metabolites, per unit(s) of mass, volume, area or batch (Regulation (EC) No 2073/2005).",Regulatory,,"EFSA, Manual for reporting on 2017 zoonoses data",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977855_microbiological criterion_Food Safety,1551347977855
microbiological evidence,Animal Health,Definition shared with food safety,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977954_microbiological evidence_Animal Health,1551347977954
microbiological evidence,Food Safety,"detection of a causative agent in a food vehicle or its component or in the food chain or its environment combined with detection in human cases, or clinical symptoms and an onset of illness in outbreak cases strongly indicative/pathognomonic to the causative agent identified in the food vehicle or its component or in the food chain or its environment.",Epidemiology,,"EFSA, Manual for reporting on 2017 zoonoses data",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978048_microbiological evidence_Food Safety,1551347978048
microorganisms,Food Safety,"bacteria, viruses, yeasts, moulds, algae, parasitic protozoa, microscopic parasitic helminths, and their toxins and metabolites",Sampling and laboratory testing; Epidemiology,,REGULATION (EC) No 2073/2005,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:338:0001:0026:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977822_microorganisms_Food Safety,1551347977822
microorganisms,Animal Health,Definition shared with food safety,Sampling and laboratory testing; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977955_microorganisms_Animal Health,1551347977955
minimum spanning (MS) tree,Public Health,constructs the tree with the least internal distance possible.,Data processing and analysis,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977848_minimum spanning (MS) tree_Public Health,1551347977848
minimum spanning (MS) tree,Food Safety,Definition shared with public health,Data processing and analysis,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978026_minimum spanning (MS) tree_Food Safety,1551347978026
modified atmosphere packaging,Food Safety,"(MAP) Sealed packaging using a predefined composition of gasses to substitute normal air. After the package is sealed, the gas composition is not manipulated further, but can change due to biological and chemical processes in the food.",Food Safety,,"preliminary, based on literature (and common sence)",,,,,,,,,,,,https://books.google.no/books?hl=no&lr=&id=hvGiAgAAQBAJ&oi=fnd&pg=PA61&dq=modified+atmosphere+packaging&ots=AKHbjPc51P&sig=FNyk8A94BqADOBT9rw_ToTrP_vQ&redir_esc=y#v=onepage&q=modified%20atmosphere%20packaging&f=false,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977709_modified atmosphere packaging_Food Safety,1551347977709
molecular serotype,Animal Health,Definition shared with public health,Sampling and laboratory testing; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978027_molecular serotype_Animal Health,1551347978027
molecular serotype,Food Safety,Definition shared with public health,Sampling and laboratory testing; Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978028_molecular serotype_Food Safety,1551347978028
molecular serotype,Public Health,the use of one or several molecular methods to derive the serotype (examples PCR and/or sequencing),Sampling and laboratory testing; Epidemiology,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978300_molecular serotype_Public Health,1551347978300
molecular surveillance,Food Safety,Definition shared with animal health,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977876_molecular surveillance_Food Safety,1551347977876
molecular surveillance,Public Health,monitoring of genotyping data derived from isolates,Type of study,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978113_molecular surveillance_Public Health,1551347978113
molecular surveillance,Animal Health,"Systematic, continuous or repeated, measurement, collection, collation, analysis, interpretation and timely dissemination of molecular-level information about micro-organisms. These data are then used to describe health hazard occurrence and to contribute to the planning, implementation, and evaluation of risk mitigation actions",Type of study,,"Muellner, P., Stärk, K.D.C., Dufour, S., and Zadoks, R.N. (2016) ‘Next-Generation’ surveillance: an epidemiologists’ perspective on the use of molecular information in food safety and animal health decision-making. Zoonoses and Public Health, 63(5), pp. 351-357.",,,,,,,,,,,,http://dx.doi.org/10.1111/zph.12230,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978199_molecular surveillance_Animal Health,1551347978199
monitoring,Food Safety,System of collecting analysing and disseminating data on the occurrence of zoonoses zoonotic agents and antimicrobial resistance related thereto. As opposed to surveillance no active control measures are taken when positive cases are detected.,Type of study,,Directive 2003/99/EC,,,,,,,,,,,,https://publications.europa.eu/en/publication-detail/-/publication/8bb3a504-4775-4e9e-b89b-a9ba3202b216,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978198_monitoring_Food Safety,1551347978198
monitoring,Animal Health,The systematic continuous or repeated measurement collection collation analysis and interpretation of animal health and welfare related data in defined populations when these activities are not associated with a pre-defined risk mitigation plan although extreme changes are likely to lead to action.,Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978292_monitoring_Animal Health,1551347978292
monitoring - active,Food Safety,"active monitoring programme of zoonotic agents or antimicrobial resistance in food and animals, based on random sampling strategies of the population of interest, stratified according to the relevant subcategories of the population. The sampling strategy should ensure that the sample is representative of the population of interest and that the sampling method is robust. A planned monitoring of wild life for e.g Trichinella or Echinococcus via organised hunting schemes should be considered as active monitoring.",Type of study,,"EFSA, samplingstrategy.xlsx",,,,,,,,,,,,tiny.cc/86tc0y,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977786_monitoring - active_Food Safety,1551347977786
monitoring - active,Animal Health,"Please see ""active (proactive) surveillance""",Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978141_monitoring - active_Animal Health,1551347978141
monitoring - EFSA specifications,Food Safety,a monitoring system following harmonised technical specifications prepared by EFSA.,Type of study,,"EFSA, samplingstrategy.xlsx",,,,,,,,,,,,tiny.cc/86tc0y,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977748_monitoring - EFSA specifications_Food Safety,1551347977748
monitoring - EFSA specifications,Animal Health,Definition shared with food safety,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977956_monitoring - EFSA specifications_Animal Health,1551347977956
monitoring - EFSA specifications,Public Health,Definition shared with food safety,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977957_monitoring - EFSA specifications_Public Health,1551347977957
monitoring - passive,Food Safety,"passive monitoring programme of zoonotic agents or antimicrobial resistance that includes information from diagnostic testing, or a representative selection of this information. Data on the prevalence of the zoonotic agents and on antimicrobial resistance provided by passive monitoring programmes are typically derived from diseased animals (clinical investigations, observed syndromes, etc).",Type of study,,"EFSA, samplingstrategy.xlsx",,,,,,,,,,,,tiny.cc/86tc0y,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978134_monitoring - passive_Food Safety,1551347978134
monitoring - passive,Animal Health,"Please see ""passive (reactive) surveillance""",Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978142_monitoring - passive_Animal Health,1551347978142
mortality,Food Safety,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978029_mortality_Food Safety,1551347978029
mortality,Public Health,The proportion of the entire population which die from a certain disease each year.,Epidemiology,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978275_mortality_Public Health,1551347978275
mortality rate,Food Safety,Definition shared with animal health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977877_mortality rate_Food Safety,1551347977877
mortality rate,Animal Health,Mortality rate: Number of animals dead at a specific moment divided by the number of animals in the population (at risk) at that specific moment.,Epidemiology,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978115_mortality rate_Animal Health,1551347978115
multi locus sequence typing (MLST),Common Term,a nucleotide sequence based approach for the unambiguous characterisation of isolates of bacteria and other organisms. Often consisting of sequencing of a few genes (e.g. first MLST schemes developed with 7 genes),Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977751_multi locus sequence typing (MLST)_Common Term,1551347977751
multidrug resistance,Common Term,"when a bacterial strain is resistant to several different antimicrobials or antimicrobial classes, typically three or more different antimicrobial classes.",Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978311_multidrug resistance_Common Term,1551347978311
multiple locus variable tandem repeat analysis (MLVA),Common Term,"a method employed for the genetic analysis of particular microorganisms, such as pathogenic bacteria, that takes advantage of the polymorphism of tandemly repeated DNA sequences to look at genetic relationships.",Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977742_multiple locus variable tandem repeat analysis (MLVA)_Common Term,1551347977742
negative predicted value (NPV),Common Term,The proportions of negative results in statistics and diagnostic tests that are true negative results,Sampling and laboratory testing,,FOHM,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978278_negative predicted value (NPV)_Common Term,1551347978278
neighbor joining (NJ) tree,Common Term,"a method of constructing a tree in which at each step the two most closely related clusters that are not yet clustered will be clustered (joined in a ""branch""). Once all clusters are joined the ""root"" is found.",Sampling and laboratory testing; Data processing and analysis,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977744_neighbor joining (NJ) tree_Common Term,1551347977744
next generation sequencing (NGS),Common Term,is a high-throughput methodology that enables rapid sequencing of the base pairs in DNA or RNA samples.,Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978094_next generation sequencing (NGS)_Common Term,1551347978094
non-compliance,Food Safety,"non-compliance with feed or food law, and with the rules for the protection of animal health and welfare",Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978116_non-compliance_Food Safety,1551347978116
notifiable disease,Common Term,"a disease that, by law, must be reported to public/animal health authorities immediately on suspected clinical diagnosis.",Regulatory,,Adapted from CDC and UK Health Protection Regulations,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977728_notifiable disease_Common Term,1551347977728
notification system,Food Safety,a system whereby the disease or infection has to be reported to the competent authority based on a legal obligation.,Regulatory,,"EFSA, Manual for reporting on 2017 zoonoses data",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977775_notification system_Food Safety,1551347977775
notification system,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977958_notification system_Animal Health,1551347977958
notification system,Public Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977959_notification system_Public Health,1551347977959
objective sampling,Food Safety,Strategy based on the selection of a random sample from a population on which the data are reported. Random sample is a sample which is taken under statistical consideration to provide representative data.,Sampling and laboratory testing,,"EFSA, Standard Sample Description ver. 2.0",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/j.efsa.2013.3424,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978185_objective sampling_Food Safety,1551347978185
odds ratio (OR),Common Term,Odds for cases divided by odds for controls.,Epidemiology,,FOHM,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978125_odds ratio (OR)_Common Term,1551347978125
official certification,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977960_official certification_Animal Health,1551347977960
official certification,Food Safety,"the procedure by which the competent authority or control bodies, authorised to act in such a capacity, provide written, electronic or equivalent assurance concerning compliance",Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978263_official certification_Food Safety,1551347978263
official control,Food Safety,"any form of control that the competent authority or the Community performs for the verification of compliance with feed and food law, animal health and animal welfare rules (Regulation (EC) No 882/2004)",Regulatory,,"EFSA, Manual for reporting on 2017 zoonoses data",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2018.EN-1370,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977808_official control_Food Safety,1551347977808
official control,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977961_official control_Animal Health,1551347977961
official control,Public Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977962_official control_Public Health,1551347977962
official detention,Food Safety,the procedure by which the competent authority ensures that feed or food is not moved or tampered with pending a decision on its destination; it includes storage by feed and food business operators in accordance with instructions from the competent authority,Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978262_official detention_Food Safety,1551347978262
OH Knowledge Base EPI,Common Term,"Inventory of epidemiological data sources, epidemiological studies, standards, methods/approaches for data analysis and interpretation, modelling and decision support for animal/feed, food and public health sectors",ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978087_OH Knowledge Base EPI_Common Term,1551347978087
OH Knowledge Base Intergation,Common Term,Inventory on current integrated OH surveillance approaches in use in the EU.,ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978088_OH Knowledge Base Intergation_Common Term,1551347978088
OH Knowledge Base NGS,Common Term,Cross-sector inventory of currently available data/methods/algorithms/tools/systems linked to existing and novel NextGen bacterial identification (primarily NGS) analysis methods,ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977857_OH Knowledge Base NGS_Common Term,1551347977857
OH stakeholders,Common Term,See EJP definition,ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978173_OH stakeholders_Common Term,1551347978173
OH surveillance codex,Common Term,"The occurrence of cases of disease in excess of what would normally be expected in a defined community, geographical area or season. An outbreak may occur in a restricted geographical area, or may extend over several countries. It may last for a few days or weeks, or for several years. A single case of a communicable disease long absent from a population, or caused by an agent (e.g. bacterium or virus) not previously recognized in that community or area, or the emergence of a previously unknown disease, may also constitute an outbreak and should be reported and investigated.",ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978247_OH surveillance codex_Common Term,1551347978247
OH surveillance data sources,Common Term,"Data sources and methods for surveillance systems include notifiable diseases, laboratory specimens, vital records, sentinel surveillance, registries, surveys, and administrative data systems.",Sampling and laboratory testing,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/books/NBK83157/,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977864_OH surveillance data sources_Common Term,1551347977864
OH surveillance framework,Common Term,"Synonym for ""OH Surveillance Codex"", only used in WP2-Epi description",ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978196_OH surveillance framework_Common Term,1551347978196
OHS (data) harmonization framework,Common Term,Concept to facilitate the adoption of the OH Surveillance Codex including development of required resources (e.g. data standards and software tools) => sum of OH Surveillance Codex + OHS Harmonisation Infrastructure,ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977843_OHS (data) harmonization framework_Common Term,1551347977843
OHS data workflow,Common Term,"Data handling and analysis processes undertaken by agencies at national level to gather public health, animal health and food surveillance data that is reported to European agencies and/or made publicly available in yearly reports.",ORION-specific; Data processing and analysis,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977859_OHS data workflow_Common Term,1551347977859
OHS harmonisation infrastructure,Common Term,"Infrastructure needed for the harmonisation and integration of OH surveillance data: data standards, software libraries, ontologies, terminology mappings, software tools, and etcetera.",ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978086_OHS harmonisation infrastructure_Common Term,1551347978086
OHS infrastructure,Common Term,"see ""OHS Harmonisation Infrastructure""",ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978171_OHS infrastructure_Common Term,1551347978171
OHS infrastructure: technical infrastructure,Common Term,"Infrastructure necessary to create open, web-based knowledge repositories (domain-specific Knowledge Bases and the OHS Knowledge Hub), a project website, a Wiki, server-based computational resources as well as infrastructure necessary to host webinars and share training materials (including video tutorials)",ORION-specific,,ORION definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978085_OHS infrastructure: technical infrastructure_Common Term,1551347978085
