Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
Type of study,Animal Health,hazard-specific (targeted) surveillance,"Surveillance that is focused on one or more pre-defined hazards (disease, condition, biological, chemical or physical agent, or event) often this form of surveillance uses diagnostic tests for the detection of particular pathogens (e.g. molecular diagnostic methods).",,,,https://www.fp7-risksur.eu/terminology/glossary,,,,Website,RiskSur: Glossary,Accesed on: 18.04.2019,,RiskSur Consortium,,,"Do., Apr. 4 2019 11:37:52",,hazardspecifictargetedsurveillance_d1782717-8bce-4a17-8ffc-c0566dc6f175
Epidemiology,Shared Term,health indicator,any of a variety of measures (e.g. mortality rate) that indicate the state of health of a given population. A variable susceptible to direct measurement that reflects the state of health of a population,,,,,,,978-0-199-97672-0,Book,A Dictionary of Epidemiology,2015,Edited by Miquel Porta,Oxford University Press Inc,,,"Do., Apr. 4 2019 11:37:52",,healthindicator_737f05a8-531e-497d-bf86-8ff425de82ec
Epidemiology,Food Safety,health inequalities,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:53",25.04.2019 02:09:48,healthinequalities_fa80d233-ecc1-4b63-b771-d362edfe6dba
Epidemiology,Animal Health,health inequalities,Differences in health status or in the distribution of health determinants between different population groups.,,,,,,,978-0-199-97672-0,Book,A Dictionary of Epidemiology,2015,Edited by Miquel Porta,Oxford University Press Inc,,,"Do., Apr. 4 2019 11:37:53",18.04.2019 04:38:11,healthinequalities_9f9d1198-ce91-468a-9514-a6ded1e75443
Epidemiology,Public Health,health inequalities,Differences in health status or in the distribution of health determinants between different population groups.,,,,,,,978-0-199-97672-0,Book,A Dictionary of Epidemiology,2015,Edited by Miquel Porta,Oxford University Press Inc,,,"Do., Apr. 4 2019 11:37:52",,healthinequalities_ade57b64-b6a0-487d-8d2b-12083fd3493a
Epidemiology,Shared Term,herd,A number of animals of one kind kept together under human control or a congregation of gregarious wild animals.,original definition,,,http://www.fao.org/faoterm/en/,,,,Website,FAO Term,Accessed 16.05.2019,,,,Cambridge Dictionary,Thu Apr 04 2019 11:37:38 GMT+0200 (MESZ),16.05.2019 11:10:47,herd_916824e9-4ecf-4ab9-a120-47a5db0800e1
Sampling and laboratory testing,Shared Term,hermetically sealed container,a container that is designed and intended to be secure against the entry of hazards,original definition,,,http://data.europa.eu/eli/reg/2004/852/oj,,,,EU Directive or Regulation,Regulation (EC) No 852/2004 of the European Parliament and of the Council of 29 April 2004 on the hygiene of foodstuffs,2004,"European Parliament, Council of the European Union",,,,Thu Apr 04 2019 11:37:53 GMT+0200 (MESZ),16.05.2019 10:50:01,hermeticallysealedcontainer_ee6eaa04-6a77-4599-844a-b4b6ae6287fd
Epidemiology,Food Safety,high risk group,"A group of people/animals/food stuff in the population with a higher-than expected risk for developing a particular disease/harbouring the hazard, which may be defined on a measurable parameter",,,,,,,,Book,Concise Dictionary of Modern Medicine,2010,JC Segen,,,,Thu Apr 04 2019 11:38:13 GMT+0200 (MESZ),14.05.2019 16:14:08,highriskgroup_0c2ea967-14a7-4bb1-93d8-e43ed3b3ec41
Epidemiology,Food Safety,high risk group/batch,"A group of people/animals/food stuff in the population with a higher-than expected risk for developing a particular disease/harbouring the hazard, which may be defined on a measurable parameter",,,,,,,1609840739,Book,Concise Dictionary of Modern Medicine,2010,Segen JC,,,,"Do., Apr. 4 2019 11:38:13",25.04.2019 02:12:36,highriskgroupbatch_ddc4c7e3-9b1f-4638-a19d-836c61bb0471
Others,Animal Health,HORECA,,,,,,,,,ORION preliminary definition,,,,,,,,,HORECA_16112904-ca0f-47b1-b439-b1f44592d670
Others,Public Health,HORECA,Term not used in this sector,original definition,,,,,,,ORION preliminary definition,,,,,,,,16.05.2019 10:51:07,HORECA_a004edf3-eda8-4010-816c-5cffdcfe7c05
Others,Food Safety,HORECA,"Food prepared and served by kitchens in hotels, restaurants and during caterings. This includes e.g. cafés, canteens/ institutions, buffets, homes, take-away food stores, food delivery and any other large professional/commercial kitchen",,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:39",23.04.2019 23:44:33,HORECA_0d343c63-3a51-4cf0-b283-2b9d959b8def
Epidemiology,Animal Health,household outbreak,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:53",,householdoutbreak_e6cab128-2b8d-473f-a828-0a21fea2b3f6
Epidemiology,Food Safety,household outbreak,outbreak where all the human cases live in one single household,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,10.2903/sp.efsa.2017.EN-1174www,,,Report,Manual for reporting on food-borne outbreaks inaccordance with Directive 2003/99/EC for informationderiving from the year 2016,2017,,EFSA,,,"Do., Apr. 4 2019 11:37:53",,householdoutbreak_96b6948c-19d5-431d-aa3b-7b0ed5f17fad
Others,Public Health,household outbreak,outbreak where all the human cases live in one single household,original definition,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,10.2903/sp.efsa.2017.EN-1174www,,,Report,Manual for reporting on food-borne outbreaks inaccordance with Directive 2003/99/EC for informationderiving from the year 2016,2017,,EFSA,,,,16.05.2019 10:52:01,householdoutbreak_0308b1eb-1d27-46fc-b74e-b2cb9154acc9
ORION-specific; Data processing and analysis,Shared Term,HSO ontology,"A collection of concepts and relationships needed to model all the data and information collected in the process of surveillance, including surveillance inputs, methods, and outputs, across the animal and public health domains. It defines a common vocabulary for researchers who need to share information within and across the domains involved in OH surveillance, as well as machine-interpretable definitions of these concepts and relations among them. It is one of the harmonisation resources that allow the process of data interoperability.",,,,http://protege.stanford.edu/publications/ontology_development/ontology101.pdf,,,,Report,Ontology Development 101: A Guide to Creating Your First Ontology,2001,"Noy, N. F. & Mcguinness, D. L.",Stanford University,,,"Do., Apr. 4 2019 11:37:38",29.04.2019 01:12:35,HSOontology_f1169bc4-2da3-4a5d-81cb-731ae0148d26
Regulatory,Food Safety,identity check,a visual inspection to ensure that certificates or other documents accompanying the consignment tally with the labelling and the content of the consignment,,,,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",,,,"Do., Apr. 4 2019 11:37:53",,identitycheck_c18b4c8e-7262-4099-92a2-99d2a3fa8f30
Regulatory,Animal Health,identity check,means a check by visual inspection to ensure that the veterinary certificate(s) or veterinary document(s) or other document(s) provided for by veterinary legislation tally with the product itself;,original definition,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:01997L0078-20130701,,,,EU Directive or Regulation,COUNCIL DIRECTIVE 97/78/EC,Accessed 16.05.2019,,,,,Thu Apr 04 2019 11:37:53 GMT+0200 (MESZ),16.05.2019 11:15:16,identitycheck_db96d01b-aec7-4c15-8553-34a6e02da3d8
Regulatory,Public Health,identity check,Term not used in this sector,original definition,,,,,,,ORION preliminary definition,,,,,,,,16.05.2019 10:53:43,identitycheck_4407490b-5962-4a2c-a512-ecc56759f35e
Epidemiology,Shared Term,incidence,The number of new cases of a disease that occur in a population in a particular geographical area within a given period of time.,original definition,,,http://www.fao.org/faoterm/en/,,,,Website,FAO Term,Accessed 16.05.2019,,OIE,,,Thu Apr 04 2019 11:37:53 GMT+0200 (MESZ),16.05.2019 11:16:58,incidence_618b432e-c0d8-4cc7-9bf0-14dc94906d69
Epidemiology,Shared Term,incidence,number of new cases or outbreaks of a disease that occur in a population at risk in a particular geographical area within a defined time interval.,,,,http://www.oie.int/index.php?id=169&L=0&htmfile=glossaire.htm,,,,Report,Terrestrial Animal Health Code,2018,,OIE,,,"Do., Apr. 4 2019 11:37:53",18.04.2019 04:45:57,incidence_d2b33418-97eb-472f-af63-ea04595e5c9e
Epidemiology,Food Safety,incidence proportion,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:53",25.04.2019 02:14:51,incidenceproportion_303f27fb-398c-4867-9e1b-78ed80f7a228
Epidemiology,Animal Health,incidence proportion,The number of new cases within a specified time period divided by the size of the population initially at risk.,,,,http://www.europeanpublichealth.com/research-methods/basics-of-epidemiology/prevalence-and-incidence/,,,,Website,Prevalence and incidence,Accessed on: 17.05.2019,,European Public Health,,,"Do., Apr. 4 2019 11:38:13",29.04.2019 02:41:13,incidenceproportion_f6fbdcb1-3967-4bb5-af32-ae119bff36d3
Epidemiology,Public Health,incidence proportion,The number of new cases within a specified time period divided by the size of the population initially at risk.,,,,http://www.europeanpublichealth.com/research-methods/basics-of-epidemiology/prevalence-and-incidence/,,,,Website,Prevalence and incidence,Accessed on: 17.05.2019,,European Public Health,,,"Do., Apr. 4 2019 11:37:53",,incidenceproportion_12470d23-b9f9-446e-8065-a9161f124321
Epidemiology,Food Safety,incidence rate,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:53",25.04.2019 02:15:24,incidencerate_2d43db71-b703-40b1-b550-e8128785e924
 Epidemiology,Public Health,incidence rate,"A measure of the frequency with which an event, such as a new case of illness, occurs in a population over a period of time. The denominator is the population at risk; the numerator is the number of new cases occurring during a given time period.",original definition,,,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 16.05.2019,,CDC,,,Thu May 16 2019 17:58:43 GMT+0200 (Mitteleuropäische Sommerzeit),,incidencerate_966c3f79-3328-4615-8842-c9a276bad260
Epidemiology,Animal Health,incidence rate,"The incidence rate measures the occurrence of disease onsets in a population per unit of time of follow-up. Because of its similarity to population density, in an area, over time, it is sometimes called “incidence density rate”.",original definition,,,https://wiki.ecdc.europa.eu/fem/w/wiki/incidence-rate ,,,,Website,ECDC Wiki,Sccessed 16.05.2019,,,,,Thu Apr 04 2019 11:38:13 GMT+0200 (MESZ),16.05.2019 11:18:45,incidencerate_a0ebf894-0d88-4509-9e72-8531ea7758ac
Epidemiology,Shared Term,incubation period,"A period of subclinical or inapparent pathologic changes following exposure, ending with the onset of symptoms of infectious disease.",,,,https://www.cdc.gov/reproductivehealth/data_stats/glossary.html,,,,Website,Epidemiology Glossary,Accessed on: 18.05.2019,,CDC,,,"Do., Apr. 4 2019 11:37:54",,incubationperiod_a113bbb8-de0a-4ca0-93c8-9ceafa838688
Epidemiology,Shared Term,incubation period,The period between inoculation and appearance of visible symptoms.,original definition,,,http://www.fao.org/faoterm/en/,,,,Website,FAO Term,Accessed 16.05.2019,,,,,Thu Apr 04 2019 11:38:13 GMT+0200 (MESZ),16.05.2019 11:32:40,incubationperiod_acd80dcd-863d-420f-8ec7-78a7d088f3da
Epidemiology,Food Safety,index case,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:54",25.04.2019 02:17:42,indexcase_f2eb9efd-d401-4f6f-9546-42bb35f71fb5
Epidemiology,Public Health,index case,"First case of a disease to be identified at the start of an outbreak. The index case is the first patient that indicates the existence of an outbreak. It does not necessarily mean that it was the first case of the outbreak. Earlier cases may be found and are labelled primary case, secondary case, tertiary case, etc.",,primary case, primarycase_82b507bd-cbb6-4ddb-b10c-18dfa94daa56; primarycase_c2cd8998-961e-47d1-8e01-1aca2e358f4d; primarycase_05f6e661-bd1c-4ea3-8fb5-1f7114ab7ed5,https://wiki.ecdc.europa.eu/fem/w/wiki/1201.key-definitions-in-infectious-diseases-epidemiology,,,,Website,Key definitions in infectious diseases epidemiology,Accessed on: 18.05.2019,,ECDC,,,"Do., Apr. 4 2019 11:37:54",25.04.2019 02:19:20,indexcase_bc98cb4f-c9b8-4025-8363-fab8852205b2
Epidemiology,Animal Health,index case,"First case of a disease to be identified at the start of an outbreak. The index case is the first patient that indicates the existence of an outbreak. It does not necessarily mean that it was the first case of the outbreak. Earlier cases may be found and are labelled primary case, secondary case, tertiary case, etc.",,primary case, primarycase_82b507bd-cbb6-4ddb-b10c-18dfa94daa56; primarycase_c2cd8998-961e-47d1-8e01-1aca2e358f4d; primarycase_05f6e661-bd1c-4ea3-8fb5-1f7114ab7ed5,https://wiki.ecdc.europa.eu/fem/w/wiki/1201.key-definitions-in-infectious-diseases-epidemiology,,,,Website,Key definitions in infectious diseases epidemiology,Accessed on: 18.05.2019,,ECDC,,,"Do., Apr. 4 2019 11:38:13",29.04.2019 02:43:43,indexcase_be2382b2-9444-449f-b523-99cfac15bb5a
Epidemiology,Public Health,index case,the first case or instance of a patient coming to the attention of health authorities.,,primary case, primarycase_82b507bd-cbb6-4ddb-b10c-18dfa94daa56; primarycase_c2cd8998-961e-47d1-8e01-1aca2e358f4d; primarycase_05f6e661-bd1c-4ea3-8fb5-1f7114ab7ed5,https://www.cdc.gov/csels/dsepd/ss1978/Glossary.html#caseIndex,,,,Website,Principles of Epidemiology in Public Health Practice - Glossary,Accessed on: 18.05.2019,,CDC,,,"Do., Apr. 4 2019 11:37:54",,indexcase_d8237870-92b7-4e60-88d8-d6a33cab8b5b
Regulatory,Shared Term,indicator,"Quantitative variable or qualitative factor that provides a simple and reliable means to measure achievement, to reflect the changes connected to activities, or to help assess the performance of a program or system.",original definition,,,https://bit.ly/2BXG3EG,,,,Website,,,,,,Codex Alimentarius (Principles and Guidlines for Monitoring the performance of National Food Control Systems),Thu Apr 04 2019 11:38:18 GMT+0200 (MESZ),16.05.2019 11:06:25,indicator_69bcdb6d-a594-4661-838a-cba3aaed5b38
Type of study,Food Safety,indicator-based surveillance,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:54",25.04.2019 02:20:49,indicatorbasedsurveillance_1eacea29-c9fb-4bf4-9aa6-c9d4ac59ff41
Others,Public Health,indicator-based surveillance,Reports of specific diseases from health care providers to public health officials (the information obtained is standardized and structured),original definition,,,https://www.cdc.gov/globalhealth/healthprotection/gddopscenter/how.html,,,,CDC,Global Disease Detection Operations Center: Event-based Surveillance,Accessed on: 16.05.2019,,,,,,16.05.2019 11:08:30,indicatorbasedsurveillance_fb5016de-f5bd-4592-9ab2-e9c251521229
Type of study;Epidemiology,Animal Health,indicator-based surveillance,Traditional disease surveillance which relies on the collection of data about the occurrence of pre-defined diseases or conditions and which uses agreed-upon case definitions; these data are analysed to produce indicators that point towards the existence of a threat. Indicator-based surveillance may be hazard-specific or general and includes the use of clinical or other data for syndromic surveillance.,,,,https://www.fp7-risksur.eu/terminology/glossary,,,,Website,RiskSur Glossary,Accesssed on: 23.04.2019,,RISKSUR Consortium,,,"Do., Apr. 4 2019 11:37:38",,indicatorbasedsurveillance_efcb0d4f-29c8-458b-b8db-e768c481c17f
Type of study;Epidemiology,Animal Health,indicator-based surveillance,surveillance system which involves reports of specific diseases from health care providers to public health officials. Such information may be described as structured information because the information obtained is standardized.,,,,https://www.cdc.gov/globalhealth/healthprotection/gddopscenter/how.html,,,,Website,Global Disease Detection Operations Center: Event-based Surveillance,Accesssed on: 23.04.2019,,CDC,,,"Do., Apr. 4 2019 11:37:38",18.04.2019 04:51:38,indicatorbasedsurveillance_c114e9ad-1618-4949-94ca-d907211497e2
Others,Public Health,indistinguishable causative agent,,,,,,,,,ORION preliminary definition,,,,,,,,,indistinguishablecausativeagent_fa3fcdef-1145-401f-8070-e9f58504676d
Epidemiology,Animal Health,indistinguishable causative agent,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:54",,indistinguishablecausativeagent_1f9aaf8b-5f35-41e2-9809-01d03cba02e7
Epidemiology,Food Safety,indistinguishable causative agent,"causative agent that has been characterised to the level (of speciation/sub-typing (e.g. sero-/phage-/ribotyping), or molecular typing) needed to link the human cases to each other and to the food vehicle",,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,10.2903/sp.efsa.2017.EN-1174www,,,Report,Manual for reporting on food-borne outbreaks inaccordance with Directive 2003/99/EC for informationderiving from the year 2016,2017,,EFSA,,,"Do., Apr. 4 2019 11:37:54",,indistinguishablecausativeagent_36b814a4-b5b8-4423-8dcf-fca5d1de78c1
Sampling and laboratory testing,Shared Term,in silico serotype,the use of one or several molecular methods to derive the serotype (examples PCR and/or sequencing),,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:53",,insilicoserotype_5a616f15-de81-49dd-a288-f2d8dbdd29d2
Regulatory,Animal Health,inspection,"the examination of any aspect of feed, food, animal health and animal welfare in order to verify that such aspect(s) comply with the legal requirements of feed and food law and animal health and animal welfare rules",,,,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",,,,"Do., Apr. 4 2019 11:38:18",29.04.2019 02:45:47,inspection_ff392235-5c43-4410-aab5-1a18f3faf1cb
Regulatory,Food Safety,inspection,"the examination of any aspect of feed, food, animal health and animal welfare in order to verify that such aspect(s) comply with the legal requirements of feed and food law and animal health and animal welfare rules",,,,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",,,,"Do., Apr. 4 2019 11:37:54",,inspection_be3e71b7-b654-49fc-9739-344d913faba6
Others,Public Health,inspection,,,,,,,,,ORION preliminary definition,,,,,,,,,inspection_09b1264e-4275-4aaa-9ead-2718cdf08d06
Sampling and laboratory testing,Shared Term,interlaboratory study,Study of the performance of the alternative method using identical samples in several laboratories and controlled by the expert laboratory.,original definition,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,,,,Website,,,,,,NordVal-protocol,Thu Apr 04 2019 11:37:54 GMT+0200 (MESZ),16.05.2019 11:09:31,interlaboratorystudy_be18fe5d-edd2-4c7f-9d08-1046fe63690a
Epidemiology,Animal Health,introduction,"import (see import), and the placing of goods under the customs procedures referred to in points (b) to (f) of Article 4(16) of Regulation (EEC) No 2913/92, as well as their entry into a free zone or free warehouse",,import, foodorfeedimport_4a2c6446-5870-4dc9-95a2-52c5d769820e,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",,,,"Do., Apr. 4 2019 11:38:18",29.04.2019 02:46:49,introduction_5e8471b5-37f7-4f85-8083-346e2c5ce3fe
Epidemiology,Food Safety,introduction,"import and the placing of goods under the customs procedures referred to in points (b) to (f) of Article 4(16) of Regulation (EEC) No 2913/92, as well as their entry into a free zone or free warehouse",,import, foodorfeedimport_4a2c6446-5870-4dc9-95a2-52c5d769820e,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",,,,"Do., Apr. 4 2019 11:37:54",,introduction_3f881879-7f36-431a-9279-be4320d085be
Others,Public Health,introduction,,,,,,,,,ORION preliminary definition,,,,,,,,,introduction_542157be-2822-4eb8-99f7-a81de564ee7e
Others,Animal Health,isolate,,,,,,,,,ORION preliminary definition,,,,,,,,,isolate_6e2e5cc3-ce05-4a89-893e-9125c86831c0
Sampling and laboratory testing,Food Safety,isolate,A pure strain of bacteria which has been seperated from a mixed bacterial culture,,,,https://definedterm.com/bacterial_isolates,,,,Website,FDA-TRACK Research Glossary,Accessed on: 18.05.2019,,FDA,,,"Do., Apr. 4 2019 11:37:54",,isolate_345d37d9-2aa1-4f5e-a4ea-508c0965fad0
Sampling and laboratory testing,Public Health,isolate,pure culture of an organism,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:54",,isolate_f02a493d-7605-401d-b0b5-01e09c790cb7
ORION-specific,Shared Term,Joint Integrative Project (JIP),"Joint Integrative Projects (JIPs) aim to develop joint resources (infrastructure and work processes) across the three domains of the One Healt EuropeanJoint Programme (OHEJP) i.e. foodborne zoonoses (FBZ), antimicrobial resistance (AMR) and emerging threats (ET) through capacity building within the disciplines defined by the five themes (Detection, Pathogenesis, Epidemiology, Risk Assessment, Intervention).
 
 JIPs will contribute to the integration and alignment of institutional activities in line with European policy priorities, and thereby strengthen both the scientific capacity within the OHEJP and also future prevention, preparedness, detection and response of the EU to foodborne and other emerging threats across human-animal-environmental sectors.",,,,https://onehealthejp.eu/structure/,,,,Website,One Health EJP Home/ Structure,Accessed on: 23.04.2019,,OHEJP,,,"Do., Apr. 4 2019 11:37:38",24.04.2019 00:07:51,JointIntegrativeProjectJIP_fe171e0d-afc8-49a6-8477-2ff72de5f593
ORION-specific,Shared Term,Joint ORION Evaluation Workshop,Aims to collect and evaluate results of ORION as a whole. Results will further be used for the creation of a Sustainability Roadmap.,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:54",16.04.2019 00:28:39,JointORIONEvaluationWorkshop_126e2403-4ecf-48d1-8fc7-5f6c405aa3b4
ORION-specific,Shared Term,Joint ORION Prioritization Workshop,Aims to define the OH surveillance resource development plan. This plan will detail and synchronizes the work carried out in all WP2s. ensuring synergistic developments over all ORION WPs. Prioritization of OH Surveillance Harmonisation Infrastructure (WP3). To be held in M13.,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:38",,JointORIONPrioritizationWorkshop_2fa1f47b-d7ca-4635-850d-22c70e86a63f
ORION-specific,Shared Term,Joint ORION Requirement Analysis Workshop,Aims to to promote knowledge exchange and synchronization of work within ORION (M4).,,,,,,,,ORION preliminary definition,,,,,,ORION definition,"Do., Apr. 4 2019 11:37:38",16.04.2019 00:30:15,JointORIONRequirementAnalysisWorkshop_4ec9ce0c-730e-4788-8cc1-f988e6b6c6f2
ORION-specific,Shared Term,Joint Research Project (JRP),"Joint research projects (JRP) are scientific projects that correspond to the priorities described in the strategic research agenda as defined by WP2 and consider the initiatives taken by the main stakeholders EFSA and ECDC (WP5). Thus, they will be implemented in the three domains of the One Healt EuropeanJoint Programme (OHEJP) i.e. foodborne zoonoses (FBZ), antimicrobial resistance (AMR) and emerging threats (ET) and cover the five themes (detection, pathogenesis, epidemiology, risk assessment and intervention).
 
JRP is an instrument that will carry out jointly prioritised research and also stimulate partners to align their laboratory tests, organize ring trials, exchange strain collections, surveillance and typing data and experience and research effort to broaden and strengthen their capacity and international networking.",,,,https://onehealthejp.eu/structure/,,,,Website,One Health EJP Home/ Structure,Accessed on: 23.04.2019,,OHEJP,,,"Do., Apr. 4 2019 11:37:38",24.04.2019 00:09:59,JointResearchProjectJRP_779c5354-8f19-42a9-9196-6a68bad09918
ORION-specific; Dissemination,Shared Term,knowledge,"A combination of data and information, to which is added expert opinion, skills, and experience, resulting in a valuable asset that aids decision making. In organizational terms, knowledge is generally thought of as being know-how, applied information, information with judgment, or the capacity for effective action. Knowledge may be tacit, explicit, individual, and/or collective. It is intrinsically linked to people",,,,https://link.springer.com/chapter/10.1007/978-981-10-0983-9_120,https://doi.org/10.1007/978-981-10-0983-9_120,,978-981-10-0983-9,Book,Glossary of Knowledge Management,2017,Serrat O.,"Springer, Singapore",,,"Do, Apr 4 2019 11:37:38",,knowledge_f82113f9-f8eb-4dc8-b57c-bd5994c089b6
ORION-specific; Data processing and analysis,Shared Term,Knowledge graph,"The Knowledge Graph is a knowledge base, i.e. a technology used to store complex structured and unstructured information used by a computer system. Knowledge graph is used by Google and its services to enhance its search engine's results with information gathered from a variety of sources. The information is presented to users in an infobox next to the search results.",,,,https://en.wikipedia.org/wiki/Knowledge_Graph,,,Wesbite,Knowledge Graph,Accessed on: 23.04.2019,,,Wikipedia,,,"Do., Apr. 4 2019 11:37:38",29.04.2019 01:03:05,Knowledgegraph_7383eea6-0af2-4add-9cbb-a88922e7aacd
ORION-specific; Dissemination,Shared Term,knowledge management,"Knowledge management involves activities related to the capture, use and sharing of knowledge by the organisation. It involves the management both of external linkages and of knowledge flows within the enterprise, including methods and procedures for seeking external knowledge and for establishing closer relationships with other enterprises (suppliers, competitors), customers or research institutions. In addition to practices for gaining new knowledge, knowledge management involves methods for sharing and using knowledge, including establishing value systems for sharing knowledge and practices for codifying routines.",,,,https://stats.oecd.org/glossary/detail.asp?ID=6878,,,Website,Glossary of Statistical Terms,Accessed on: 23.04.2019,,,OECD,,,"Do., Apr. 4 2019 11:37:38",,knowledgemanagement_6e2ce649-683d-432c-92d2-68dac400e4d6
ORION-specific; Data processing and analysis,Shared Term,knowledge model,Knowledge model is a result of a knowledge modeling. Knowledge modeling is a process of creating a computer interpretable model of knowledge or standard specifications about a kind of process. A knowledge model can be computer interpretable when it is expressed in some knowledge representation language or data structure that enables the knowledge to be interpreted by software and to be stored in a database or data exchange file.,,,,https://en.wikipedia.org/wiki/Knowledge_modeling,,,Website,Knowledge modeling,Accessed on: 23.04.2019,,,Wikipedia,,,"Do., Apr. 4 2019 11:37:38",,knowledgemodel_0453d75f-859e-4e17-bcbb-d8caaba006d4
ORION-specific,Shared Term,knowledge transfer,"A term used to encompass a very broad range of activities to support mutually beneficial collaborations and dissemination of knowledge between e.g. ORION members, EJP projects, stakelholders, OH surveillance actors, decision makers, etc.",,,,http://www.cam.ac.uk/research/news/what-is-knowledge-transfer,,,Website,What is knowledge transfer?,Accessed on: 23.04.2019,,,University of Cambridge,,,"Do., Apr. 4 2019 11:37:38",,knowledgetransfer_faa89a3c-2f0a-44b1-8b03-12506762ffbe
Type of study,Food Safety,laboratory based surveillance,Term not used in this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:55",25.04.2019 02:24:09,laboratorybasedsurveillance_eaa98d65-6b59-47b5-9351-f52ecd4d5582
Type of study,Animal Health,laboratory based surveillance,Term not used in this sector,original definition,,,,,,,ORION preliminary definition,,,,,,,Thu Apr 04 2019 11:37:55 GMT+0200 (MESZ),16.05.2019 11:37:10,laboratorybasedsurveillance_5fc0e4bb-6031-4d0a-b0ce-e7b51adcfe12
Type of study,Public Health,laboratory based surveillance,monitoring of laboratory confirmed cases,,,,http://www2.keelpno.gr/blog/?p=5183,,,Website,Book,Accessed on: 15.03.2019,,,Hellenic Center for Disease Control and Prevention,,,"Do., Apr. 4 2019 11:37:55",25.04.2019 00:42:28,laboratorybasedsurveillance_2f999acd-dd42-4fca-8fdf-c94e5007d009
Sampling and laboratory testing,Public Health,Level of Detection (LOD),,,,,,,,,ORION preliminary definition,,,,,,,,,LevelofDetectionLOD_638d4f47-759a-42f9-9241-58d6f71c2f8f
Sampling and laboratory testing,Animal Health,Level of Detection (LoD),"Measured analyte concentration, obtained by a given measurement procedure, for which the probability of detection is x. In this protocol x= 50, i.e. LOD50 is the level of detection for which 50 % of tests give a positive result.",,,,https://www.nmkl.org/index.php/nb/nordval-validation-protocol,,,,Report,NordVal International Protocol for the validation of microbiological alternative (proprietary) methods against a reference method – Protocol No. 1,2018,,NMKL/Nordval,,NordVal-protocol,"Do., Apr. 4 2019 11:38:18",29.04.2019 02:47:46,LevelofDetectionLoD_e8298564-1cae-4388-adec-b643eb6c5ab2
